year,gdp,growth
1000,94925688.00000001,0.000827720435541135
1500,204168233.48015708,0.0015328735994981635
1600,480857156.5594961,0.008603054652930542
1700,567185867.6928841,0.0016525319765614555
1820,809254083.4980412,0.002966273039233247
1821,514638148.88660496,-0.3640586320404392
1822,320115796.22898626,-0.3779788829849837
1823,326588401.0389318,0.02021957331126356
1824,338254488.33000904,0.03572107047882134
1825,339369172.69644,0.003295401553824906
1826,342532377.35804176,0.009320836764484808
1827,349027498.6532331,0.01896206526602917
1828,349746320.13175255,0.0020594981234804965
1829,354337827.83208644,0.013128108677753048
1830,717882512.0105791,1.0259832725247984
1831,575107088.073289,-0.1988841092359498
1832,381378322.11597407,-0.33685685670531507
1833,392241885.4447576,0.02848500478084337
1834,396791978.0409873,0.011600221100993346
1835,412158403.8172771,0.038726654334484634
1836,417412510.2976822,0.012747784424006259
1837,420894878.88323593,0.008342750875076188
1838,429111387.3825683,0.01952152167100074
1839,431287337.8451063,0.005070828988740006
1840,807017945.2265997,0.871183951884148
1841,663817894.9070514,-0.17744345236256132
1842,446806777.09085023,-0.326913630200625
1843,456548242.104928,0.021802411050038772
1844,477578018.8611138,0.04606255115390967
1845,485675037.8568189,0.016954337670343822
1846,544454560.5329957,0.12102644380398542
1847,507853707.51875466,-0.06722480748147375
1848,515880751.5962411,0.01580581958671634
1849,524665020.18484145,0.01702771146514004
1850,1224404377.657053,1.333687839958705
1851,764130830.8063238,-0.37591628652249776
1852,561569530.2599179,-0.2650871976107283
1853,574062261.4679701,0.022246098719547858
1854,591827634.800299,0.03094677097724552
1855,597886891.1629134,0.010238211273555953
1856,619750877.2167671,0.03656876639547546
1857,633661233.3906876,0.0224450770225455
1858,644133572.336354,0.016526715528468516
1859,653450528.4677805,0.014464323133527524
1860,702560528.037169,0.07515488538136506
1861,900509260.5387518,0.28175327904432224
1862,692931898.4773805,-0.23051107984962094
1863,735100018.6474429,0.060854638475614786
1864,753653462.6194636,0.02523934634930125
1865,760509048.2996851,0.009096469425607934
1866,769028491.8226037,0.01120229081030133
1867,775254364.3710665,0.008095763179992721
1868,805183195.2834727,0.03860517565313715
1869,826379035.034994,0.02632424506085118
1870,1829723623.570818,1.214145744262905
1871,891261334.0910999,-0.5128983838817425
1872,923311748.823237,0.035960737335050785
1873,943174079.4074694,0.021512052250550306
1874,1028968928.0105561,0.09096395933292145
1875,999492217.4300022,-0.028646842269129724
1876,994588638.0127813,-0.004906070634376314
1877,1017661045.702806,0.023197940141488127
1878,1038709456.9097267,0.02068312558076202
1879,1058886143.5363891,0.019424764540692863
1880,1129603158.4191873,0.06678434250411747
1881,1168068272.6993976,0.03405188272847948
1882,1209112829.7728684,0.03513883394728046
1883,1236952247.1769855,0.023024664628979785
1884,1488902516.1597185,0.20368633434131556
1885,1569887596.480446,0.054392466559603836
1886,1592248032.1179183,0.014243335438538729
1887,1991721219.4037962,0.25088628104914124
1888,1669655927.7811909,-0.16170199347427383
1889,1714730856.0219688,0.026996537125273612
1890,2439288281.1040273,0.42254877640854405
1891,1755379986.2233455,-0.2803720659745651
1892,1831626029.2905164,0.043435634259002986
1893,1828684347.56283,-0.0016060493139125054
1894,1864405397.3313825,0.01953374283328868
1895,1958952104.1774433,0.05071145308922098
1896,1960151150.4666553,0.0006120855566886796
1897,2070110790.055213,0.05609753082683411
1898,2145898307.1412191,0.03661036764316594
1899,2208935645.8065176,0.02937573437451335
1900,3063830824.5552855,0.3870167880950792
1901,2383409478.9599314,-0.22208189177485582
1902,2427437019.6413016,0.01847250381020671
1903,2510448213.9828224,0.03419705379371174
1904,2530930797.645001,0.00815893494559794
1905,2615939534.0905447,0.03358793394297588
1906,2786976251.5688505,0.06538251945405471
1907,2822827774.268756,0.012863949838009425
1908,2760330548.1963253,-0.0221399359330805
1909,2939559126.60919,0.06493011444950958
1910,3166254860.355937,0.07711895695333149
1911,3482522324.7243567,0.09988692582152603
1912,3179188159.666755,-0.08710185801367709
1913,4396657850.163141,0.38294986938552333
1914,3092014836.2343206,-0.2967351698473446
1915,3112087731.959568,0.006491849744709954
1916,3334816155.24101,0.07156881247084845
1917,3244941421.8856626,-0.026950431199663005
1918,3237619941.9560475,-0.0022562749146209926
1919,3233683011.2296357,-0.0012159953289740955
1920,3564985722.0261664,0.10245367577651043
1921,3494210458.682645,-0.019852888303658167
1922,3715797650.1647186,0.06341552522443505
1923,3902172216.269208,0.050157350763227804
1924,4177978439.109769,0.07068017697697981
1925,4389125672.035584,0.05053813369386506
1926,4582082014.773711,0.043962364524558595
1927,4698671884.768971,0.025444736610856555
1928,4861352558.274555,0.0346226928577249
1929,5654440675.939672,0.1631414525398276
1930,5458058939.984556,-0.034730532551299764
1931,5274746126.337196,-0.03358571529971033
1932,5018502854.988797,-0.04857926148690983
1933,5044728874.113239,0.005225865139913521
1934,5285216561.450975,0.047671082696195244
1935,5630779125.9489,0.06538285810620703
1936,5983416185.986538,0.06262669022347978
1937,6283610123.956657,0.05017099406743397
1938,6269649368.577917,-0.002221773009995376
1939,5943149740.776493,-0.052076218079717074
1940,6033654014.749514,0.015228334792250386
1941,5616296626.636931,-0.06917158111690447
1942,5685375444.6349,0.012299709682416449
1943,5848654828.738916,0.028719191141210798
1944,5921553827.78953,0.01246423343234504
1945,5516514526.341848,-0.06840084768745225
1946,5764995899.017727,0.04504318288103071
1947,5916422135.694958,0.02626649512500645
1948,6499684837.63634,0.09858368597846345
1949,6839178858.225641,0.05223238188772861
1950,8767224010.95815,0.28191178980698894
