year,gdp
1,41535300.0
1000,94925688.00000001
1500,204168233.48015708
1600,480857156.5594961
1700,567185867.6928841
1820,809254083.4980412
1821,514638148.88660496
1822,320115796.22898626
1823,326588401.0389318
1824,338254488.33000904
1825,339369172.69644
1826,342532377.35804176
1827,349027498.6532331
1828,349746320.13175255
1829,354337827.83208644
1830,717882512.0105791
1831,575107088.073289
1832,381378322.11597407
1833,392241885.4447576
1834,396791978.0409873
1835,412158403.8172771
1836,417412510.2976822
1837,420894878.88323593
1838,429111387.3825683
1839,431287337.8451063
1840,807017945.2265997
1841,663817894.9070514
1842,446806777.09085023
1843,456548242.104928
1844,477578018.8611138
1845,485675037.8568189
1846,544454560.5329957
1847,507853707.51875466
1848,515880751.5962411
1849,524665020.18484145
1850,1224404377.657053
1851,764130830.8063238
1852,561569530.2599179
1853,574062261.4679701
1854,591827634.800299
1855,597886891.1629134
1856,619750877.2167671
1857,633661233.3906876
1858,644133572.336354
1859,653450528.4677805
1860,702560528.037169
1861,900509260.5387518
1862,692931898.4773805
1863,735100018.6474429
1864,753653462.6194636
1865,760509048.2996851
1866,769028491.8226037
1867,775254364.3710665
1868,805183195.2834727
1869,826379035.034994
1870,1829723623.570818
1871,891261334.0910999
1872,923311748.823237
1873,943174079.4074694
1874,1028968928.0105561
1875,999492217.4300022
1876,994588638.0127813
1877,1017661045.702806
1878,1038709456.9097267
1879,1058886143.5363891
1880,1129603158.4191873
1881,1168068272.6993976
1882,1209112829.7728684
1883,1236952247.1769855
1884,1488902516.1597185
1885,1569887596.480446
1886,1592248032.1179183
1887,1991721219.4037962
1888,1669655927.7811909
1889,1714730856.0219688
1890,2439288281.1040273
1891,1755379986.2233455
1892,1831626029.2905164
1893,1828684347.56283
1894,1864405397.3313825
1895,1958952104.1774433
1896,1960151150.4666553
1897,2070110790.055213
1898,2145898307.1412191
1899,2208935645.8065176
1900,3063830824.5552855
1901,2383409478.9599314
1902,2427437019.6413016
1903,2510448213.9828224
1904,2530930797.645001
1905,2615939534.0905447
1906,2786976251.5688505
1907,2822827774.268756
1908,2760330548.1963253
1909,2939559126.60919
1910,3166254860.355937
1911,3482522324.7243567
1912,3179188159.666755
1913,4396657850.163141
1914,3092014836.2343206
1915,3112087731.959568
1916,3334816155.24101
1917,3244941421.8856626
1918,3237619941.9560475
1919,3233683011.2296357
1920,3564985722.0261664
1921,3494210458.682645
1922,3715797650.1647186
1923,3902172216.269208
1924,4177978439.109769
1925,4389125672.035584
1926,4582082014.773711
1927,4698671884.768971
1928,4861352558.274555
1929,5654440675.939672
1930,5458058939.984556
1931,5274746126.337196
1932,5018502854.988797
1933,5044728874.113239
1934,5285216561.450975
1935,5630779125.9489
1936,5983416185.986538
1937,6283610123.956657
1938,6269649368.577917
1939,5943149740.776493
1940,6033654014.749514
1941,5616296626.636931
1942,5685375444.6349
1943,5848654828.738916
1944,5921553827.78953
1945,5516514526.341848
1946,5764995899.017727
1947,5916422135.694958
1948,6499684837.63634
1949,6839178858.225641
1950,8767224010.95815
