year,gdp_smooth
1,42055144.48698146
2,42072621.43982132
3,42090108.056595236
4,42107604.34330994
5,42125110.3059761
6,42142625.950608395
7,42160151.28322547
8,42177686.30985
9,42195231.03650858
10,42212785.46923189
11,42230349.614054516
12,42247923.47701511
13,42265507.064156294
14,42283100.38152471
15,42300703.43517101
16,42318316.23114985
17,42335938.775519885
18,42353571.07434382
19,42371213.13368835
20,42388864.959624216
21,42406526.55822617
22,42424197.93557298
23,42441879.09774747
24,42459570.05083648
25,42477270.80093091
26,42494981.354125656
27,42512701.71651969
28,42530431.89421603
29,42548171.89332171
30,42565921.719947845
31,42583681.380209595
32,42618928.763508566
33,42654205.321786985
34,42689511.07919359
35,42724846.0598971
36,42760210.28808622
37,42795603.7879697
38,42831026.583776325
39,42866478.69975491
40,42901960.160174385
41,42937470.989323735
42,42973011.211512044
43,43008580.85106854
44,43044179.9323426
45,43079808.4797037
46,43115466.51754155
47,43151154.07026599
48,43186871.162307136
49,43222617.818115264
50,43258394.0621609
51,43294199.91893483
52,43330035.41294814
53,43365900.56873214
54,43401795.41083854
55,43437719.963839255
56,43473674.25232663
57,43509658.300913334
58,43545672.1342324
59,43581715.77693728
60,43617789.2537018
61,43653892.58922021
62,43690025.80820722
63,43726188.93539799
64,43762381.995548144
65,43798605.013433814
66,43834858.01385163
67,43871141.02161873
68,43907454.06157283
69,43943797.158572175
70,43980170.337495595
71,44016573.62324252
72,44053007.040732965
73,44089470.614907615
74,44125964.370727755
75,44162488.33317537
76,44199042.527253084
77,44235626.977984235
78,44272241.71041288
79,44308886.7496038
80,44345562.12064253
81,44382267.84863534
82,44419003.95870931
83,44455770.476012304
84,44492567.425713025
85,44529394.83300098
86,44566252.72308653
87,44603141.12120091
88,44640060.052596256
89,44677009.54254557
90,44713989.6163428
91,44751000.2993028
92,44788041.61676144
93,44825113.5940755
94,44862216.25662277
95,44899349.62980204
96,44936513.73903312
97,44973708.609756894
98,45010934.26743525
99,45048190.737551205
100,45085478.04560883
101,45122796.21713332
102,45160145.277670994
103,45197525.252789326
104,45234936.16807694
105,45272378.04914365
106,45309850.92162047
107,45347354.81115961
108,45384889.74343454
109,45422455.74413996
110,45460052.838991836
111,45497681.05372745
112,45535340.414105356
113,45573030.94590542
114,45610752.67492889
115,45648505.626998335
116,45686289.82795772
117,45724105.303672366
118,45761952.08002905
119,45799830.18293594
120,45837739.638322674
121,45875680.47214031
122,45913652.71036145
123,45951656.37898015
124,45989691.504011996
125,46027758.1114941
126,46065856.22748513
127,46103985.87806531
